id_solucion_reclamo,id_reclamo,id_usuario_propuesta,descripcion_solucion,estado,costo_estimado,fecha_propuesta,fecha_resolucion,observaciones
e999d4b1-223f-44e2-9dcc-d027bb3ee4c0,8e8dc698-160e-4f8b-b45e-d703946c0b1b,2bf33038-8eee-4248-97f4-c5b70378b888,Reprogramar entrega para el siguiente día hábil,propuesta,44.82,2024-03-04 17:37:00,,Cliente no se presentó en horario acordado
3169bc63-9847-4aa4-8858-0d915f766bfd,aa7406c3-ddff-4fea-a174-0947bd81a78d,d2d1a0af-21a4-4ff5-8531-95fb09f118db,Reemplazar producto con temperatura fuera de rango,en_proceso,72.35,2024-04-22 16:53:00,,Producto avícola con temperatura elevada
8a420a78-bcdc-41ef-b21a-51525b0f708c,36479810-26fe-473b-b287-5988d2049565,92590658-8023-4923-b1e5-3ba309f96f61,Solicitar confirmación de disponibilidad antes de nueva entrega,en_proceso,6.62,2024-03-17 07:21:00,,Cliente no se presentó en horario acordado
e86793e2-f2f6-4090-8f34-83b0930e61de,857b28ea-6d44-405e-bc83-cd8a9daff2b2,79ec2a5a-4130-42b7-b32a-209287767cea,Ofrecer descuento por productos dañados,en_proceso,53.03,2024-03-30 23:55:00,,20 unidades reemplazadas exitosamente
d17e2dd3-db83-4c62-b144-a746237cdfa6,8dabc67c-3012-4b2c-898a-c4fcae201c06,b2f38119-6012-43c4-b905-ac0c2a7350f9,Solicitar confirmación de disponibilidad antes de nueva entrega,rechazada,0.0,2024-04-13 19:18:00,,Cliente no se presentó en horario acordado
31321198-d45d-4d47-93fd-ebca0f85f532,8dabc67c-3012-4b2c-898a-c4fcae201c06,72e8d5ed-3905-4419-9fda-e47df2a0aeaf,Solicitar confirmación de disponibilidad antes de nueva entrega,implementada,21.63,2024-04-13 19:18:00,2024-04-16 04:18:00,Dirección corregida y entrega completada
31205956-3d39-44e6-a03d-484a95b7798c,ea63b47c-c1a7-44a8-a1e8-f15790f5d02d,b8fb778b-79aa-4755-adfb-ad1b80cb570f,Notificar a proveedor y reponer mercancía afectada,rechazada,0.0,2024-04-01 17:58:00,,30 unidades con temperatura elevada
d2e7b107-7266-433b-ba29-a71fcd31f21a,5368af74-ccff-4ad2-8b7d-bde6c5f95aff,5252e5b4-d995-45e0-9600-faab5d70cf45,Solicitar confirmación de disponibilidad antes de nueva entrega,en_proceso,190.4,2024-04-27 23:45:00,,Cliente no se presentó en horario acordado
3360d128-2e9f-4f8c-b924-633fe5d75099,6dc9478b-ee93-4504-9683-83c3cc19a748,02f95259-a9d5-4f59-9fff-85c9731393b7,Reemplazar producto con temperatura fuera de rango,rechazada,0.0,2024-03-24 06:26:00,,30 unidades con temperatura elevada
834ca64b-8560-46bf-bd09-c58edf7ea07f,b0418827-a25b-4185-97b7-feef9d5efa68,5119fbbf-b2a7-4012-9b10-d53bd374c137,Notificar a proveedor y reponer mercancía afectada,rechazada,0.0,2024-03-24 03:05:00,,30 unidades con temperatura elevada
da5345b4-edfe-4ecf-aa46-b3834230ad29,c6d21e43-041c-41e0-857a-19f041f83216,7aac46fc-99d3-4426-9f21-9fad8159f6df,Reemplazar productos con empaque dañado,en_proceso,31.04,2024-04-19 14:11:00,,50 unidades con empaque dañado
00b1e54d-a5a0-445a-92cf-14d5ad09cc5c,1aa376a7-7d12-42b8-a5d0-7ecfae371491,30343169-c075-4e56-97ea-61f2caa332e4,Solicitar confirmación de disponibilidad antes de nueva entrega,rechazada,0.0,2024-03-28 12:24:00,,Cliente no se presentó en horario acordado
28b986ab-d818-49a3-ad58-d8f4cbabe9f6,5368af74-ccff-4ad2-8b7d-bde6c5f95aff,f932581d-d70c-45cd-9c24-a3fc1977d94b,Solicitar confirmación de disponibilidad antes de nueva entrega,propuesta,41.41,2024-04-27 23:45:00,,Dirección corregida y entrega completada
ee649a18-f762-4ebc-b4e9-25264a5eae4b,6dc9478b-ee93-4504-9683-83c3cc19a748,d892b0f7-539f-4d7b-9cc5-341c7715a4ba,Notificar a proveedor y reponer mercancía afectada,rechazada,0.0,2024-03-24 06:26:00,,30 unidades con temperatura elevada
8a15d954-55b9-452f-b978-2b2693e4407a,782c95a4-06ca-488f-9b9d-493e463fecdf,6179dd31-2aee-4cc9-b07f-577b16d40201,Reemplazar producto con temperatura fuera de rango,en_proceso,128.84,2024-04-28 15:17:00,,Producto avícola con temperatura elevada
fc842fc8-4732-4451-a23f-24b309a1bcbc,0926a1fb-561e-4344-ad72-a2162d59de81,4014be1e-a081-4789-ac1f-6dc45c6e35f1,Notificar a proveedor y reponer mercancía afectada,propuesta,163.52,2024-04-25 09:14:00,,Producto avícola con temperatura elevada
141fb215-f09f-4c75-bb12-1eca18deb036,8197d329-c016-4b19-bc08-cf92c5da7dd2,aadc1bf4-9f73-44c0-be04-01d679577184,Solicitar confirmación de disponibilidad antes de nueva entrega,en_proceso,148.38,2024-04-19 00:22:00,,Cliente no se presentó en horario acordado
d9b6463f-77dc-42e7-aded-28fda626ea00,f9c32c0c-40f9-4c82-b1d2-7b7db37afb05,bc53ec78-f447-4355-983c-43f427898059,Verificar y actualizar dirección correcta,implementada,59.41,2024-03-31 16:30:00,2024-04-01 18:30:00,Cliente no se presentó en horario acordado
704bbc52-0dda-462e-937a-d3bf863e8391,1aa376a7-7d12-42b8-a5d0-7ecfae371491,c250291c-30fe-484a-ab16-846801c3d382,Verificar y actualizar dirección correcta,implementada,135.47,2024-03-28 12:24:00,2024-04-01 08:24:00,Dirección corregida y entrega completada
f5524fb3-3407-44e9-9ae5-9f926cb0d085,72ec62d5-d3b9-40e7-bb99-ea24732c431c,9523be1c-d54e-45d7-ac1c-bbae770fe52b,Ofrecer descuento por productos dañados,en_proceso,142.36,2024-03-10 17:07:00,,20 unidades reemplazadas exitosamente
cab9b31a-f68e-4ca7-a8d1-8ad4b9836bf0,c6d21e43-041c-41e0-857a-19f041f83216,9331c6e1-86b4-429e-aaf6-c7b50709f4a7,Reemplazar productos con empaque dañado,rechazada,0.0,2024-04-19 14:11:00,,20 unidades reemplazadas exitosamente
fc404708-444f-4be0-bef4-1fe362edf1f0,44fc557f-e140-4eb6-a97d-0422a29534c7,69e11f73-9c24-4e37-9927-c2b757ce5533,Reemplazar productos con empaque dañado,en_proceso,85.86,2024-04-17 13:44:00,,50 unidades con empaque dañado
cf9b82d9-440e-4907-b01b-e4e6db1c9916,a2c9872e-204a-4045-a267-dc6510c7bd5a,fa724ae5-9734-4402-a92a-5b35a57d122c,Reemplazar productos con empaque dañado,rechazada,0.0,2024-03-06 18:51:00,,50 unidades con empaque dañado
d3eba28b-34fa-4359-a7ed-c1aa1bd6f5f4,0926a1fb-561e-4344-ad72-a2162d59de81,3159ef81-fea8-4faa-8e1d-3e52103dc51a,Reemplazar producto con temperatura fuera de rango,implementada,34.33,2024-04-25 09:14:00,2024-04-27 05:14:00,Producto avícola con temperatura elevada
0bf34e01-a9f2-4835-a469-2f8b754c84d6,36479810-26fe-473b-b287-5988d2049565,3032db22-3b49-45bd-8d70-7c8d26edcf7d,Reprogramar entrega para el siguiente día hábil,rechazada,0.0,2024-03-17 07:21:00,,Cliente no se presentó en horario acordado
9f941c69-be97-4512-9f71-5956185939a3,857b28ea-6d44-405e-bc83-cd8a9daff2b2,911c3769-aab8-48e3-8d25-0c948c91202a,Ofrecer descuento por productos dañados,propuesta,158.33,2024-03-30 23:55:00,,50 unidades con empaque dañado
1fb5781e-bd7a-4c95-9457-6a14798d6803,6dc9478b-ee93-4504-9683-83c3cc19a748,bec00ea6-4ce5-4fb5-9c43-6bbed33f8bf9,Reemplazar producto con temperatura fuera de rango,en_proceso,45.5,2024-03-24 06:26:00,,Producto avícola con temperatura elevada
6072edb0-5c31-46b6-b8af-2c7dc7b77dcd,b8e532b6-f047-442e-a005-2ac3d990025b,963d14de-eb06-4356-bd06-585b8a3a1572,Reemplazar producto con temperatura fuera de rango,en_proceso,188.58,2024-04-19 13:56:00,,Producto avícola con temperatura elevada
7dd65bd3-7f00-421d-8373-82be900dc59d,72ec62d5-d3b9-40e7-bb99-ea24732c431c,a84e86f2-3c93-4e7b-9e07-9c4782684edf,Reemplazar productos con empaque dañado,implementada,3.8,2024-03-10 17:07:00,2024-03-12 21:07:00,50 unidades con empaque dañado
c3e47548-325f-4621-a66f-dda58475f4c5,6dc9478b-ee93-4504-9683-83c3cc19a748,7b973ad8-a2e0-4544-a55f-55a8945c24b5,Reemplazar producto con temperatura fuera de rango,implementada,24.0,2024-03-24 06:26:00,2024-03-26 20:26:00,Producto avícola con temperatura elevada
76fb734e-d0ef-4e18-bd07-c015a3836306,44f330bd-2abc-41e7-b812-778c6cce5b9b,a2d91d0d-a4d9-4009-af3c-e87c77cf8aa5,Verificar y actualizar dirección correcta,en_proceso,160.82,2024-04-04 05:47:00,,Dirección corregida y entrega completada
60533930-a098-4ce0-bda6-74a3f8ffe930,44f330bd-2abc-41e7-b812-778c6cce5b9b,a30f61b1-bbea-4304-a698-0b087fff2ee9,Solicitar confirmación de disponibilidad antes de nueva entrega,propuesta,33.43,2024-04-04 05:47:00,,Dirección corregida y entrega completada
d2acfca8-5972-4fd2-8843-48ddbe2c84bc,44fc557f-e140-4eb6-a97d-0422a29534c7,7d5a208e-d0d7-4bce-b525-c159370b64e7,Ofrecer descuento por productos dañados,propuesta,73.6,2024-04-17 13:44:00,,20 unidades reemplazadas exitosamente
48f22632-3118-4942-a5a7-3c6da1e72a06,dc7c7bfa-db2a-49fc-9aaf-4cc310be131c,a1500356-5d99-489f-b05f-bfdf8b1ff7bf,Reprogramar entrega para el siguiente día hábil,en_proceso,194.84,2024-04-27 13:32:00,,Cliente no se presentó en horario acordado
5d9b22f1-2124-409c-b427-1c099a0e1a0c,0fa00e15-effe-4f14-b31e-1ebd008ec3ce,33736c23-09f0-4150-8116-d37987f82d10,Notificar a proveedor y reponer mercancía afectada,rechazada,0.0,2024-03-28 23:42:00,,Producto avícola con temperatura elevada
0a0e04c4-be17-4750-ac7a-1d0ba66cf112,554092fa-a4d1-42e4-9f5e-872165a61577,c1d92fad-ff69-4bb9-9cfd-4d67872ad2c4,Ofrecer descuento por productos dañados,propuesta,49.9,2024-03-14 09:25:00,,20 unidades reemplazadas exitosamente
ad3269ec-9011-4d78-a997-dcc1aca544e3,44f330bd-2abc-41e7-b812-778c6cce5b9b,6f41fc3e-680a-4a48-bd86-a95f078dc048,Reprogramar entrega para el siguiente día hábil,propuesta,1.74,2024-04-04 05:47:00,,Dirección corregida y entrega completada
fa512cd9-f663-4e5a-a452-90e3e5e2c906,857b28ea-6d44-405e-bc83-cd8a9daff2b2,d2c21634-404d-48e2-82ac-114be26a300f,Ofrecer descuento por productos dañados,en_proceso,186.6,2024-03-30 23:55:00,,50 unidades con empaque dañado
344f73fe-47ce-472e-ab8a-12aad10849b3,2ff067d6-1d6b-42bb-b3d5-71eaa940e48f,ef61f4cf-b1f9-447a-b7d5-9348225e1b35,Reemplazar productos con empaque dañado,en_proceso,77.77,2024-04-11 02:00:00,,20 unidades reemplazadas exitosamente
50c5af80-37dc-4658-a107-981fa7cf4a93,832c0fdc-32d2-482d-b377-0dbc1325217c,9ff0b050-ab98-43e1-8548-cf80c8a383a8,Reemplazar producto con temperatura fuera de rango,propuesta,136.12,2024-04-20 21:03:00,,Producto avícola con temperatura elevada
ae9aaae9-1bfc-4942-a287-39c9ad576478,36479810-26fe-473b-b287-5988d2049565,95748550-ef78-429d-b03b-fe3fd74c85f4,Verificar y actualizar dirección correcta,rechazada,0.0,2024-03-17 07:21:00,,Dirección corregida y entrega completada
754ff6ff-c512-4c86-96f4-d83d5db5b433,3ec305d1-f88d-41e8-b48c-c5c06e4a0501,f6722ed9-435b-404e-ac6e-8e7a3edf87f0,Verificar y actualizar dirección correcta,en_proceso,136.74,2024-04-07 09:05:00,,Cliente no se presentó en horario acordado
b45e8e07-6c81-42c1-a98d-317b5937a81b,5368af74-ccff-4ad2-8b7d-bde6c5f95aff,3ab14cf8-3e62-4ed0-84ff-07eecb8cd8b2,Solicitar confirmación de disponibilidad antes de nueva entrega,en_proceso,120.5,2024-04-27 23:45:00,,Cliente no se presentó en horario acordado
5b159ffc-cfa9-44d6-a15e-19cb65ebbae7,b8e532b6-f047-442e-a005-2ac3d990025b,301bc967-f549-4e8b-b68a-747e28054131,Reemplazar producto con temperatura fuera de rango,en_proceso,52.64,2024-04-19 13:56:00,,30 unidades con temperatura elevada
b35e135c-4dc6-418d-9c66-517331be7bc1,c1600925-d927-4fe9-bb9b-abd1eadbd461,53d6ab30-a98b-4de8-941d-57d2c55b3b02,Ofrecer descuento por productos dañados,propuesta,31.3,2024-04-16 11:36:00,,20 unidades reemplazadas exitosamente
95939a69-e0ba-454d-9942-c425b9dcb00e,44f330bd-2abc-41e7-b812-778c6cce5b9b,1164204e-2928-4986-af98-f3738ada7ef6,Verificar y actualizar dirección correcta,implementada,179.02,2024-04-04 05:47:00,2024-04-07 19:47:00,Cliente no se presentó en horario acordado
5bd09d52-e4e0-4efc-a1b5-51bd36791fce,f9c32c0c-40f9-4c82-b1d2-7b7db37afb05,14d64efb-7d30-4ad9-9188-f36ec82e9cc0,Reprogramar entrega para el siguiente día hábil,en_proceso,135.99,2024-03-31 16:30:00,,Dirección corregida y entrega completada
dc7e253c-3ec9-49c3-bbee-b2e10fea8dc5,9daca646-77e2-4eed-8e80-709d4642c2ee,ca04966b-18c8-4a26-808e-f0f1a03856aa,Reemplazar producto con temperatura fuera de rango,propuesta,18.19,2024-03-22 22:14:00,,Producto avícola con temperatura elevada
410f9070-daa3-45c8-a4a5-d4830c6028f7,44f330bd-2abc-41e7-b812-778c6cce5b9b,5cc71385-541a-4d84-89eb-e85c69dacef5,Verificar y actualizar dirección correcta,implementada,123.16,2024-04-04 05:47:00,2024-04-07 18:47:00,Cliente no se presentó en horario acordado
e76ca104-0e66-4c0c-8bc0-868e402681ef,8dabc67c-3012-4b2c-898a-c4fcae201c06,21aded61-e7ec-4895-b0f4-5a9161dd67aa,Reprogramar entrega para el siguiente día hábil,rechazada,0.0,2024-04-13 19:18:00,,Dirección corregida y entrega completada
